City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Odesskoye,RU,54.2111,72.9651,7.47,94,95,6.31,overcast clouds
1,Barrow,US,71.2906,-156.7887,-29.18,75,0,8.05,clear sky
2,Bilibino,RU,68.0546,166.4372,-25.1,100,100,1.83,overcast clouds
3,Isangel,VU,-19.55,169.2667,81.84,81,100,4.99,overcast clouds
4,Bengkulu,ID,-3.8004,102.2655,84.16,69,97,7.63,overcast clouds
5,Vaini,TO,-21.2,-175.2,82.56,83,75,6.91,broken clouds
6,Roquetas De Mar,ES,36.7642,-2.6148,51.62,76,27,1.68,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,79.0,71,0,16.55,clear sky
8,Fort Nelson,CA,58.8053,-122.7002,37.74,59,33,15.59,scattered clouds
9,Nizwa,OM,22.9333,57.5333,70.9,33,1,5.79,clear sky
10,Limbang,MY,4.75,115.0,86.11,58,91,6.2,overcast clouds
11,Shumskiy,RU,54.8318,99.1328,-1.08,83,58,6.96,broken clouds
12,Santiago Del Estero,AR,-27.7951,-64.2615,59.83,39,2,4.16,clear sky
13,Port Elizabeth,ZA,-33.918,25.5701,73.76,80,99,12.57,overcast clouds
14,Iqaluit,CA,63.7506,-68.5145,-22.27,74,75,2.3,broken clouds
15,Ribeira Grande,PT,38.5167,-28.7,61.39,88,94,15.32,overcast clouds
16,Sitka,US,57.0531,-135.33,37.29,87,100,5.75,mist
17,Nikolskoye,RU,59.7035,30.7861,34.88,93,100,9.37,snow
18,San Patricio,US,28.017,-97.5169,48.06,48,0,12.77,clear sky
19,Awbari,LY,26.5921,12.7805,46.69,37,28,8.61,scattered clouds
20,Kribi,CM,2.95,9.9167,78.78,88,40,1.88,light rain
21,Tasiilaq,GL,65.6145,-37.6368,10.56,65,100,5.41,overcast clouds
22,San Cristobal,VE,7.7669,-72.225,64.04,78,55,1.52,broken clouds
23,Leshukonskoye,RU,64.8989,45.7622,8.62,95,81,7.45,broken clouds
24,Souillac,MU,-20.5167,57.5167,86.38,74,40,14.97,scattered clouds
25,Upernavik,GL,72.7868,-56.1549,-3.01,85,100,19.86,overcast clouds
26,Bluff,NZ,-46.6,168.3333,52.81,78,100,11.27,overcast clouds
27,Carnarvon,AU,-24.8667,113.6333,89.67,58,43,17.27,scattered clouds
28,Mahebourg,MU,-20.4081,57.7,86.29,74,40,14.97,scattered clouds
29,Muroto,JP,33.2833,134.15,48.0,87,100,25.7,overcast clouds
30,Babati,TZ,-4.2167,35.75,69.19,77,94,1.61,overcast clouds
31,Provideniya,RU,64.3833,-173.3,-8.54,90,3,5.26,clear sky
32,Coihaique,CL,-45.5752,-72.0662,59.61,82,0,5.75,clear sky
33,Pemangkat,ID,1.1667,108.9667,82.04,78,79,7.23,broken clouds
34,Lavrentiya,RU,65.5833,-171.0,-14.51,93,7,7.67,clear sky
35,Hobart,AU,-42.8794,147.3294,77.25,47,75,16.11,broken clouds
36,Port Hedland,AU,-20.3167,118.5667,93.25,49,80,13.8,broken clouds
37,Ushuaia,AR,-54.8,-68.3,44.26,70,75,6.91,broken clouds
38,Nanortalik,GL,60.1432,-45.2371,25.95,90,100,2.15,overcast clouds
39,Malakal,SS,9.5334,31.6605,79.63,17,25,11.81,scattered clouds
40,Thompson,CA,55.7435,-97.8558,-27.27,100,24,2.95,few clouds
41,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,67,0,4.61,clear sky
42,Makakilo City,US,21.3469,-158.0858,72.68,69,0,9.22,clear sky
43,Portland,US,45.5234,-122.6762,51.6,46,0,11.01,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,55.51,76,0,20.71,clear sky
45,Tumut,AU,-35.3,148.2167,84.06,26,28,6.24,scattered clouds
46,Hermanus,ZA,-34.4187,19.2345,71.8,79,72,5.79,broken clouds
47,Bambous Virieux,MU,-20.3428,57.7575,86.25,74,40,14.97,scattered clouds
48,New Norfolk,AU,-42.7826,147.0587,76.91,31,100,8.75,overcast clouds
49,Winslow,US,35.0242,-110.6974,28.58,26,0,3.44,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,71.28,79,82,4.52,broken clouds
51,Chokurdakh,RU,70.6333,147.9167,-2.42,94,100,11.41,overcast clouds
52,Tilichiki,RU,60.4667,166.1,-15.23,89,23,8.08,few clouds
53,Nanakuli,US,21.3906,-158.1547,74.1,70,0,5.75,clear sky
54,Mataura,NZ,-46.1927,168.8643,52.48,96,100,3.27,overcast clouds
55,Esperance,AU,-33.8667,121.9,69.42,55,12,15.59,few clouds
56,Mareeba,AU,-17.0,145.4333,85.44,57,27,7.99,scattered clouds
57,Nampula,MZ,-15.1165,39.2666,75.06,87,94,4.09,overcast clouds
58,General Roca,AR,-39.0333,-67.5833,68.4,20,43,15.52,scattered clouds
59,Dikson,RU,73.5069,80.5464,-4.45,91,100,25.23,overcast clouds
60,Catamarca,AR,-28.4696,-65.7852,66.78,62,54,1.99,broken clouds
61,Shingu,JP,33.7333,135.9833,44.91,86,100,6.76,overcast clouds
62,Albany,US,42.6001,-73.9662,28.81,68,98,1.99,overcast clouds
63,Mahon,ES,39.8885,4.2658,45.16,100,0,0.0,clear sky
64,Nuevitas,CU,21.5453,-77.2644,74.64,83,2,6.15,clear sky
65,Areia Branca,BR,-4.9561,-37.1369,77.94,83,37,8.48,scattered clouds
66,Port Alfred,ZA,-33.5906,26.891,74.91,90,100,18.43,overcast clouds
67,Meulaboh,ID,4.1363,96.1285,85.32,66,73,5.68,broken clouds
68,Thinadhoo,MV,0.5333,72.9333,81.68,76,99,9.55,overcast clouds
69,Kota Belud,MY,6.351,116.4305,85.86,77,100,6.31,overcast clouds
70,Yellowknife,CA,62.456,-114.3525,-15.45,82,100,12.66,overcast clouds
71,Georgetown,MY,5.4112,100.3354,89.53,58,20,8.05,few clouds
72,Broome,US,42.2506,-75.833,27.18,75,100,9.22,overcast clouds
73,Inuvik,CA,68.3499,-133.7218,-38.36,100,33,1.97,scattered clouds
74,Kahului,US,20.8947,-156.47,74.84,78,0,6.91,clear sky
75,Constitucion,CL,-35.3333,-72.4167,57.9,94,15,7.36,few clouds
76,Kavieng,PG,-2.5744,150.7967,82.27,73,100,3.2,light rain
77,Qaanaaq,GL,77.484,-69.3632,-17.28,48,0,8.99,clear sky
78,Takoradi,GH,4.8845,-1.7554,78.08,88,71,6.85,broken clouds
79,Bethel,US,41.3712,-73.414,40.05,68,100,3.44,overcast clouds
80,Fortuna,US,40.5982,-124.1573,50.92,100,0,10.36,clear sky
81,Korla,CN,41.7597,86.1469,36.5,32,71,9.33,broken clouds
82,Riyadh,SA,24.6877,46.7219,57.34,33,0,17.96,clear sky
83,Lompoc,US,34.6391,-120.4579,68.13,55,0,3.44,clear sky
84,Eureka,US,40.8021,-124.1637,51.19,84,5,2.15,clear sky
85,Kongoussi,BF,13.3258,-1.5347,66.4,13,14,9.82,few clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,77,3.83,broken clouds
87,Nouadhibou,MR,20.931,-17.0347,64.49,64,84,18.99,broken clouds
88,Belaya Gora,RU,68.5333,146.4167,-10.7,96,100,5.46,overcast clouds
89,Huanren,CN,41.2647,125.3667,26.06,55,15,4.21,few clouds
90,Butaritari,KI,3.0707,172.7902,82.38,76,88,12.66,overcast clouds
91,Novyy Urengoy,RU,66.0833,76.6333,-9.29,94,6,13.82,clear sky
92,Mehamn,NO,71.0357,27.8492,20.48,79,66,11.65,broken clouds
93,Busselton,AU,-33.65,115.3333,85.08,39,0,5.7,clear sky
94,Katsuura,JP,35.1333,140.3,44.62,94,100,5.7,overcast clouds
95,Key West,US,24.5557,-81.7826,75.2,87,0,8.05,clear sky
96,Arraial Do Cabo,BR,-22.9661,-42.0278,72.1,89,40,5.64,scattered clouds
97,Hithadhoo,MV,-0.6,73.0833,81.72,72,56,11.03,broken clouds
98,Benito Juarez,MX,19.385,-99.165,60.84,57,75,13.8,broken clouds
99,Avarua,CK,-21.2078,-159.775,77.05,94,40,2.3,scattered clouds
100,Coahuayana,MX,18.7333,-103.6833,76.32,54,60,2.06,broken clouds
101,Jamestown,US,42.097,-79.2353,20.52,85,100,6.91,mist
102,Totness,SR,5.8833,-56.3167,74.68,90,75,9.51,broken clouds
103,Cape Town,ZA,-33.9258,18.4232,72.1,77,54,5.99,broken clouds
104,Cherskiy,RU,68.75,161.3,-15.63,98,100,9.28,overcast clouds
105,Tiksi,RU,71.6872,128.8694,-6.11,86,100,14.32,overcast clouds
106,Castro,BR,-24.7911,-50.0119,57.33,99,28,3.0,scattered clouds
107,Aksu,CN,41.1231,80.2644,36.66,32,94,2.06,overcast clouds
108,Bogande,BF,12.9714,-0.1436,68.59,14,2,8.25,clear sky
109,Sambava,MG,-14.2667,50.1667,80.71,70,7,4.94,clear sky
110,Touros,BR,-5.1989,-35.4608,79.7,83,15,6.82,few clouds
111,Montepuez,MZ,-13.1256,38.9997,71.33,91,100,3.74,overcast clouds
112,Kindu,CD,-2.95,25.95,71.65,96,88,2.64,overcast clouds
113,Alugan,PH,12.2188,125.4808,79.7,81,80,14.65,broken clouds
114,Atuona,PF,-9.8,-139.0333,78.13,78,18,14.25,light rain
115,Wausau,US,44.9591,-89.6301,1.02,75,100,3.44,overcast clouds
116,Mizan Teferi,ET,6.9833,35.5833,68.4,63,88,2.82,overcast clouds
117,Saskylakh,RU,71.9167,114.0833,-9.09,78,89,4.72,overcast clouds
118,Jalalabad,AF,34.4265,70.4515,58.89,21,63,2.37,broken clouds
119,Abalak,RU,58.1286,68.5944,5.67,87,100,2.37,overcast clouds
120,Cidreira,BR,-30.1811,-50.2056,71.46,86,64,12.35,broken clouds
121,Nyazepetrovsk,RU,56.0531,59.6028,21.36,92,99,7.0,overcast clouds
122,Dir,PK,35.2058,71.8756,50.07,51,39,0.49,scattered clouds
123,Brae,GB,60.3964,-1.353,44.51,88,83,21.3,broken clouds
124,Tezu,IN,27.9167,96.1667,73.15,24,0,4.65,clear sky
125,Pacific Grove,US,36.6177,-121.9166,61.56,74,0,4.61,clear sky
126,Ishigaki,JP,24.3448,124.1572,71.73,100,75,12.66,broken clouds
127,Faya,SA,18.3851,42.4509,55.92,42,13,5.48,few clouds
128,Xingcheng,CN,40.6167,120.7167,24.03,45,82,16.24,broken clouds
129,Altay,CN,47.8667,88.1167,14.27,92,98,3.11,overcast clouds
130,Pasighat,IN,28.0667,95.3333,72.14,23,0,3.74,clear sky
131,Mar Del Plata,AR,-38.0023,-57.5575,56.88,79,0,3.0,clear sky
132,Dunedin,NZ,-45.8742,170.5036,54.81,74,100,18.01,overcast clouds
133,Saint George,US,37.1041,-113.5841,56.35,26,0,5.75,clear sky
134,Victoria,HK,22.2855,114.1577,67.17,91,100,4.0,overcast clouds
135,Airai,TL,-8.9266,125.4092,70.86,74,84,2.26,heavy intensity rain
